id,name,commonname,lf,match_strategy,pollination_syndrome,pollination_system,flower_colour,flowering_time,flower_diameter,fruit_type,fruit_colour,fruit_fleshiness,fruiting_time,dispersal_syndrome,dispersers,plant_growth_form,plant_height,woodiness,leaf_phenology
1,Acacia acinacea s.l.,Gold-dust Wattle,MS,via_original_name,insect,,,nnnnnnyyyyyn,,,,,,"myrmecochory, zoochory",invertebrates,shrub,1.5,,
2,Acacia aculeatissima,Thin-leaf  Wattle,SS,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnyyynn, nnnnnnnyyyyn",,legume,,dry,,"barochory endozoochory myrmecochory, myrmecochory, zoochory","ants passive vertebrates, invertebrates","shrub, subshrub",0.5,woody,evergreen
3,Acacia dealbata,Silver Wattle,T,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnyyynn, nnnnnnyyyynn, nnnnnnyyyyyn",,legume,"blue purple, brown purple, brown purple white",dry,,"ballistic myrmecochory, myrmecochory, zoochory","ants, invertebrates","shrub tree, tree",30.0,woody,evergreen
4,Acacia genistifolia,Spreading Wattle,MS,exact_taxon,insect,biotic_unspecialised,white_cream yellow_orange,"nnnnnnyyyynn, nyyyyyyyyynn",,legume,brown,dry,,"barochory endozoochory myrmecochory, myrmecochory, zoochory","ants passive vertebrates, invertebrates","shrub, shrub tree",2.0,woody,evergreen
6,Acacia implexa,Lightwood,T,exact_taxon,insect,biotic_unspecialised,white_cream yellow_orange,"nnnnnnnnnnny, nnnnnnnynnnn, yyynnnnnnnnn, yyynnnnnnnny, yyyynnnnnnny",,legume,,dry,nnnnnyyyyynn,"ballistic myrmecochory, myrmecochory, zoochory","ants, birds, invertebrates","shrub, shrub tree, tree",14.25,woody,evergreen
7,Acacia mearnsii,Black Wattle,T,exact_taxon,insect,biotic_unspecialised,white_cream yellow_orange,"nnnnnnnnnyyy, nnnnnnnnyyyn",,legume,"black brown, black brown grey, black brown red",dry,,"ballistic myrmecochory, myrmecochory, zoochory","ants, invertebrates","shrub, shrub tree, tree",10.0,woody,evergreen
8,Acacia melanoxylon,Blackwood,T,exact_taxon,insect,biotic_unspecialised,white_cream yellow_orange,"nnnnnnnyyynn, nnnnnnnyyyyn, nnnnnnyyyyyy, yyyyynnnnnyy",,legume,,dry,nnnnnnnnyyyn,"endozoochory, myrmecochory, zoochory","ants, birds, flying_vertebrates, invertebrates, vertebrates","shrub, shrub tree, tree",30.0,woody,evergreen
9,Acacia montana,Mallee Wattle,MS,exact_taxon,insect,,yellow_orange,"nnnnnnnnynnn, nnnnnnnnyyyn, nnnnnnnyyyyn",,legume,,dry,,"ballistic myrmecochory, zoochory","ants, invertebrates","palmoid shrub, shrub, shrub tree",3.5,woody,
10,Acacia mucronata ssp. longifolia,Narrow-leaf Wattle,MS,species_level_fallback,insect,,yellow_orange,"nnnnnnnyyyyn, nnnnnnnyyyyy",,legume,,dry,,"ballistic myrmecochory, zoochory","ants, invertebrates","shrub tree, tree",5.75,woody,evergreen
11,Acacia myrtifolia,Myrtle Wattle,MS,exact_taxon,insect,biotic_unspecialised,white_cream yellow_orange,"nnnnnyyyyynn, nnnnnyyyyyyy, nnnnyyyynnnn",,legume,brown,dry,,"ballistic myrmecochory, myrmecochory, zoochory","ants, invertebrates",shrub,1.0,woody,evergreen
12,Acacia oswaldii,Umbrella Wattle,MS,exact_taxon,insect,,yellow_orange,"nnnnnnnnnyyy, ynnnnnnnnnyy",,legume,red,dry,,"barochory endozoochory myrmecochory, myrmecochory, zoochory","ants, ants passive vertebrates, invertebrates","shrub, shrub tree, tree",6.0,woody,evergreen
13,Acacia paradoxa,Hedge Wattle,MS,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnyyynn, nnnnnnnyyyyn, nnnnnnyyyyyn",,legume,,dry,,"barochory endozoochory myrmecochory, myrmecochory, zoochory","ants passive vertebrates, invertebrates","shrub, shrub tree",3.0,woody,evergreen
14,Acacia pycnantha,Golden Wattle,MS,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnyyynn, nnnnnnyyyyyn",,legume,,dry,,"ballistic myrmecochory, myrmecochory, zoochory","ants, invertebrates","shrub, shrub tree, tree",8.0,woody,evergreen
15,Acacia retinodes var. retinodes,Wirilda,T,via_original_name,insect,,,yynnnnnnnyyy,,,,,,zoochory,invertebrates,tree,,,
16,Acacia rubida,Red-stem Wattle,MS,exact_taxon,insect,,white_cream yellow_orange,"nnnnnnnyyynn, nnnnnnyyyyyn",,legume,,dry,,"myrmecochory, zoochory",invertebrates,"shrub, shrub tree",5.0,woody,evergreen
17,Acacia verniciflua,Varnish Wattle,MS,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnyyynn, nnnnnnyyyyyn",,legume,brown,dry,,"barochory endozoochory myrmecochory, myrmecochory, zoochory","ants passive vertebrates, invertebrates","shrub, shrub tree, tree",4.2,woody,evergreen
18,Acacia verticillata,Prickly Moses,MS,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnyyynn, nnnnnnyyyyyy",,legume,brown,dry,,"barochory endozoochory myrmecochory, myrmecochory, zoochory","ants passive vertebrates, invertebrates","shrub, shrub tree, tree",10.0,woody,evergreen
19,Acaena  novae-zelandiae,Bidgee-widgee,MH,species_level_fallback,"abiotic, wind",abiotic,,"nnnnnnnnnnyn, yyyynnnnyyyy",,achene,,dry,,"epizoochory, epizoochory myrmecochory, zoochory","ants, mammals",herb,0.1622,herbaceous,
20,Acaena echinata,Sheep's Burr,MH,exact_taxon,"abiotic, wind",abiotic,green,"nnnnnnnnnnny, yyynnnnnyyyy, yyyynnnyyyyy",,achene,,dry,,"epizoochory, epizoochory myrmecochory, zoochory","ants, mammals",herb,0.4,herbaceous,
21,Acaena novae-zelandiae,Bidgee-widgee,MH,exact_taxon,"abiotic, wind",abiotic,,"nnnnnnnnnnyn, yyyynnnnyyyy",,achene,,dry,,"epizoochory, epizoochory myrmecochory, zoochory","ants, mammals",herb,0.1622,herbaceous,
22,Acrotriche prostrata,Trailing Ground-berry,PS,exact_taxon,insect,biotic_unspecialised,,nnnyyyynnnnn,,drupe,green,fleshy,,"endozoochory, myrmecochory","birds, vertebrates","shrub, subshrub",0.15,woody,
23,Acrotriche serrulata,Honey-pots,PS,exact_taxon,insect,biotic_unspecialised,white_cream,"nnnnnnnyynnn, nnnnnyyyyyyn",,drupe,"green, green grey",fleshy,,"endozoochory, myrmecochory, zoochory",birds,"shrub, subshrub",0.3,woody,
25,Actinobole uliginosum,Flannel Cudweed,SH,exact_taxon,insect,,yellow_orange,"nnnnnnnnyyyn, nnnnnnnyyyyn, nnnnnnyyyynn",,achene,brown,dry,,"anemochory, epizoochory","birds, wind",herb,0.02,,
26,Adiantum aethiopicum,Common  Maidenhair,GF,exact_taxon,abiotic,abiotic,,,,,,,yyyyyyyyyyyy,"anemochory, barochory",wind,"fern, fern herb, herb",0.43,,
27,Ajuga australis,Austral Bugle,LH,exact_taxon,insect,biotic_unspecialised,blue_purple pink,"nnnnnnnnyyyn, yynnnnnnyyyy",,mericarp,,dry,,"barochory myrmecochory, myrmecochory, undefined, zoochory","ants, ants passive, invertebrates",herb,0.44,herbaceous,
28,Allocasuarina littoralis,Black Sheoak,T,exact_taxon,abiotic,abiotic,red_brown,"nnnnyynnnnnn, yyyyyyyyyyyy",,"nut, samara",black brown,dry,yyyyyyyyyyyy,anemochory,wind,"herb, shrub, shrub tree, tree",12.0,woody,evergreen
29,Allocasuarina pusilla s.l.,Dwarf Sheoak,MS,via_original_name,abiotic,,,nnnnnnnnyyyn,,,,,,anemochory,wind,shrub,,,
30,Allocasuarina verticillata,Drooping Sheoak,T,exact_taxon,"abiotic, insect wind",abiotic,,yyyyyyyyyyyy,,samara,brown,dry,yyyyyyyyyyyy,"anemochory, anemochory endozoochory zoochory","abiotic animals vertebrates wind, wind",tree,9.5,woody,evergreen
31,Amperea xiphoclada var. xiphoclada,Broom  Spurge,SS,exact_taxon,,,,yyyyyyyyyyyy,,capsule,,,,"myrmecochory, zoochory","ants, invertebrates","herb, herb shrub subshrub, shrub, subshrub",0.75,,
32,Amyema miquelii,Box Mistletoe,EP,exact_taxon,"bird insect, insect vertebrate",biotic_unspecialised,red_brown,"nnnnnnnnnnyn, nnnnnnnnnnyy, nyyyyyyyyyyn, nyyyyyyyyyyy, ynnnnnnyyyyy, yyyynnnnnnny, yyyyyyyyyyyy",,"berry, drupe",red yellow,fleshy,nyyyyyyyyyyn,"endozoochory, zoochory","birds, vertebrates",shrub,4.0,woody,
33,Amyema pendula,Drooping Mistletoe,EP,exact_taxon,"bird insect, insect vertebrate",,red_brown,"nnnnnnnnnnnn, nnnnnnnyyyyn, yyyyyyyyyyyy",,"berry, drupe",green yellow,fleshy,,endozoochory,"birds, vertebrates",shrub,25.0,woody,
34,Amyema spp.,Mistletoe,EP,via_original_name,insect vertebrate,,,yyyyyyyyyyyy,,,,,,endozoochory,birds,,,,
35,Argentipallium blandowskianum,Woolly  Everlasting,MH,exact_taxon,insect,,,nnnnnnnnyyyy,,achene,brown grey,dry,,"anemochory, epizoochory","birds, wind",herb,0.35,,
36,Aristida contorta,Sand Wire-grass,MTG,exact_taxon,"abiotic, self wind, wind",,,"nnnnnnnyyyyy, yyyyyyynnnyy",,caryopsis,,dry,,"epizoochory, zoochory","mammals, vertebrates","graminoid, graminoid herb, tussock",0.3,,
37,Arthropodium fimbriatum,Nodding Chocolate-lily,LH,exact_taxon,insect,biotic_unspecialised,blue_purple,yynnnnnnyyyy,,capsule,,dry,,"anemochory, barochory, undefined",wind,"herb, tussock",0.75,,evergreen
38,Arthropodium milleflorum s.l.,Pale Vanilla-lily,LH,via_original_name,insect,,,yynnnnnnnnyy,,,,,,barochory,,herb,,,
39,Asperula conferta,Common Woodruff,SH,exact_taxon,insect,biotic_unspecialised,white_cream,"nnnnnnnnyyyy, yynnnnnnyyyy, yyynnnnnnyyy",,mericarp,black brown,fleshy,,"barochory, barochory zoochory, undefined, zoochory","abiotic animals passive, invertebrates",herb,0.15,herbaceous,
40,Asperula gemella,Twin-leaf Bedstraw,SC,exact_taxon,insect,,green white_cream yellow_orange,yynnnnnnyyyy,,mericarp,black brown,,,"endozoochory zoochory, zoochory","abiotic animals vertebrates, invertebrates","climber, herb",,,
41,Asperula scoparia,Prickly Woodruff,MH,exact_taxon,,biotic_unspecialised,white_cream,"nnnnnnnnyyyn, yynnnnnnyyyy",,,,fleshy,,"barochory, undefined",,herb,0.22499999999999998,herbaceous,
42,Asplenium flabellifolium,Necklace  Fern,GF,exact_taxon,abiotic,abiotic,,,,,,,,"anemochory, barochory",wind,"fern, fern herb, herb",0.425,,
43,Asplenium trichomanes ssp. quadrivalens,Common Spleenwort,GF,species_level_fallback,abiotic,,,,,,,,,anemochory,wind,"fern, fern herb, herb",0.25,,
44,Astroloma  conostephioides,Flame Heath,SS,species_level_fallback,insect,,,nnyyyyyyyyyn,,,,,,endozoochory,birds,"shrub, subshrub",1.0,woody,
45,Astroloma conostephioides,Flame Heath,SS,via_original_name,insect,,,nnyyyyyyyyyn,,,,,,endozoochory,birds,"shrub, subshrub",1.0,woody,
46,Astroloma humifusum,Cranberry Heath,PS,via_original_name,"bird, insect",biotic_unspecialised,white_cream,"nnnnnnnnnnnn, nyyyyynnnnnn, yyyyyyynnnnn, yyyyyyyyyyyy",,drupe,,fleshy,,endozoochory,"birds, vertebrates","shrub, subshrub",0.5,woody,
48,Atriplex semibaccata,Berry Saltbush,PS,exact_taxon,"abiotic, wind",abiotic,,nnnnnnnyyyyy,,nutlet,,dry,,"anemochory, anemochory barochory, barochory, endozoochory, zoochory","birds, passive wind, wind","herb, herb subshrub, shrub, subshrub",0.25,herbaceous,
49,Atriplex vesicaria,Bladder Saltbush,SS,exact_taxon,"abiotic, wind",,,nnnnnnnynnnn,,nutlet,,dry,,"anemochory, anemochory barochory","passive wind, wind","herb, shrub",1.0,,
50,Austrodanthonia  caespitosa,Common Wallaby-grass,MTG,species_level_fallback,,abiotic,,yynnnnnnyyyy,,caryopsis,,dry,,"anemochory, epizoochory",wind,"graminoid, herb, tussock",0.9,herbaceous,
51,Austrodanthonia  duttoniana,Brown-back Wallaby-grass,MTG,species_level_fallback,,abiotic,red_brown,yynnnnnnyyyy,,caryopsis,,,,epizoochory,,"herb, tussock",0.65,,
52,Austrodanthonia  setacea,Bristly Wallaby-grass,MTG,species_level_fallback,,abiotic,red_brown,,,caryopsis,,dry,,epizoochory,,"graminoid, herb, tussock",0.55,herbaceous,
53,Austrodanthonia caespitosa,Common Wallaby-grass,MTG,via_original_name,,abiotic,,yynnnnnnyyyy,,caryopsis,,dry,,"anemochory, epizoochory",wind,"graminoid, herb, tussock",0.9,herbaceous,
54,Austrodanthonia duttoniana,Brown-back Wallaby-grass,MTG,via_original_name,,abiotic,red_brown,yynnnnnnyyyy,,caryopsis,,,,epizoochory,,"herb, tussock",0.65,,
55,Austrodanthonia geniculata,Kneed  Wallaby-grass,MTG,via_original_name,,abiotic,,,,caryopsis,,dry,,epizoochory,,"herb, tussock",0.25,herbaceous,
56,Austrodanthonia laevis,Smooth Wallaby-grass,MTG,via_original_name,,abiotic,,yynnnnnnyyyy,,caryopsis,,dry,,epizoochory,,"herb, tussock",0.5,herbaceous,
57,Austrodanthonia penicillata,Slender Wallaby-grass,MTG,via_original_name,,abiotic,red_brown,yynnnnnnyyyy,,caryopsis,,dry,,epizoochory,,"herb, tussock",0.3,herbaceous,
58,Austrodanthonia pilosa,Velvet Wallaby-grass,MTG,via_original_name,,abiotic,red_brown,yynnnnnnyyyy,,caryopsis,,dry,,epizoochory,,"graminoid, herb, tussock",0.5,herbaceous,
59,Austrodanthonia racemosa var. racemosa,Stiped Wallaby-grass,MTG,via_original_name,,,,,,caryopsis,,,,epizoochory,,herb,0.6,,
60,Austrodanthonia setacea,Bristly  Wallaby-grass,MTG,via_original_name,,abiotic,red_brown,,,caryopsis,,dry,,epizoochory,,"graminoid, herb, tussock",0.55,herbaceous,
61,Austrodanthonia setacea var. setacea,Bristly  Wallaby-grass,MTG,species_level_fallback,,abiotic,red_brown,,,caryopsis,,dry,,epizoochory,,"graminoid, herb, tussock",0.55,herbaceous,
62,Austrostipa  aristiglumis,Plump Spear-grass,LTG,species_level_fallback,abiotic,abiotic,red_brown,"ynnnnnnnyyyy, yynnnnnnyyyy",,caryopsis,,dry,,epizoochory,mammals,"graminoid, graminoid herb, herb, tussock",2.0,,
63,Austrostipa  bigeniculata,Kneed Spear-grass,LTG,species_level_fallback,abiotic,abiotic,red_brown,"ynnnnnnnnnyy, yynnnnnnyyyy",,caryopsis,,dry,,"epizoochory, epizoochory myrmecochory","ants, mammals","graminoid, graminoid herb, herb, tussock",1.0,herbaceous,
64,Austrostipa  elegantissima,Feather Spear-grass,MNG,species_level_fallback,"abiotic, self wind",abiotic,,"nnnnnnnnyyyn, ynnnyyyyyyyy",,caryopsis,,dry,,"anemochory, epizoochory, zoochory","abiotic animals, vertebrates, wind","graminoid, graminoid herb, graminoid_not_tussock, herb, tussock",0.2881610895,,
65,Austrostipa aristiglumis,Plump Spear-grass,LTG,exact_taxon,abiotic,abiotic,red_brown,"ynnnnnnnyyyy, yynnnnnnyyyy",,caryopsis,,dry,,epizoochory,mammals,"graminoid, graminoid herb, herb, tussock",2.0,,
66,Austrostipa bigeniculata,Kneed Spear-grass,LTG,exact_taxon,abiotic,abiotic,red_brown,"ynnnnnnnnnyy, yynnnnnnyyyy",,caryopsis,,dry,,"epizoochory, epizoochory myrmecochory","ants, mammals","graminoid, graminoid herb, herb, tussock",1.0,herbaceous,
