id,scientific_name,common_name,lf_code,nursery_available
1,Acacia acinacea s.l.,Gold-dust Wattle,MS,
2,Acacia aculeatissima,Thin-leaf  Wattle,SS,
3,Acacia dealbata,Silver Wattle,T,
4,Acacia genistifolia,Spreading Wattle,MS,
5,Acacia genistifolia Brachyloma daphnoides,Spreading Wattle Daphne Heath,MS MS,
6,Acacia implexa,Lightwood,T,
7,Acacia mearnsii,Black Wattle,T,
8,Acacia melanoxylon,Blackwood,T,
9,Acacia montana,Mallee Wattle,MS,
10,Acacia mucronata ssp. longifolia,Narrow-leaf Wattle,MS,
11,Acacia myrtifolia,Myrtle Wattle,MS,
12,Acacia oswaldii,Umbrella Wattle,MS,
13,Acacia paradoxa,Hedge Wattle,MS,
14,Acacia pycnantha,Golden Wattle,MS,
15,Acacia retinodes var. retinodes,Wirilda,T,
16,Acacia rubida,Red-stem Wattle,MS,
17,Acacia verniciflua,Varnish Wattle,MS,
18,Acacia verticillata,Prickly Moses,MS,
19,Acaena  novae-zelandiae,Bidgee-widgee,MH,
20,Acaena echinata,Sheep's Burr,MH,
21,Acaena novae-zelandiae,Bidgee-widgee,MH,
22,Acrotriche prostrata,Trailing Ground-berry,PS,
23,Acrotriche serrulata,Honey-pots,PS,
24,Acrotriche serrulata Senecio tenuiflorus,Honey-pots Slender Fireweed,PS LH,
25,Actinobole uliginosum,Flannel Cudweed,SH,
26,Adiantum aethiopicum,Common  Maidenhair,GF,
27,Ajuga australis,Austral Bugle,LH,
28,Allocasuarina littoralis,Black Sheoak,T,
29,Allocasuarina pusilla s.l.,Dwarf Sheoak,MS,
30,Allocasuarina verticillata,Drooping Sheoak,T,
31,Amperea xiphoclada var. xiphoclada,Broom  Spurge,SS,
32,Amyema miquelii,Box Mistletoe,EP,
33,Amyema pendula,Drooping Mistletoe,EP,
34,Amyema spp.,Mistletoe,EP,
35,Argentipallium blandowskianum,Woolly  Everlasting,MH,
36,Aristida contorta,Sand Wire-grass,MTG,
37,Arthropodium fimbriatum,Nodding Chocolate-lily,LH,
38,Arthropodium milleflorum s.l.,Pale Vanilla-lily,LH,
39,Asperula conferta,Common Woodruff,SH,
40,Asperula gemella,Twin-leaf Bedstraw,SC,
41,Asperula scoparia,Prickly Woodruff,MH,
42,Asplenium flabellifolium,Necklace  Fern,GF,
43,Asplenium trichomanes ssp. quadrivalens,Common Spleenwort,GF,
44,Astroloma  conostephioides,Flame Heath,SS,
45,Astroloma conostephioides,Flame Heath,SS,
46,Astroloma humifusum,Cranberry Heath,PS,
47,Astroloma humifusum Senecio tenuiflorus,Cranberry Heath Slender Fireweed,PS MH,
48,Atriplex semibaccata,Berry Saltbush,PS,
49,Atriplex vesicaria,Bladder Saltbush,SS,
50,Austrodanthonia  caespitosa,Common Wallaby-grass,MTG,
51,Austrodanthonia  duttoniana,Brown-back Wallaby-grass,MTG,
